,index,ISO_language,textfile,Frequency,file,Perimetric_complexity,ISO_script,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Relative_frequency,Sum_prob,Source,Unicode,PCComplexity,Compression
25,003C4,ell,τ,143618.0,8.0,30.0940688846728,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0818659447861748,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C4,,1032
26,003C5,ell,υ,64706.0,8.0,35.301145911495105,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0368840801524476,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C5,,1130
27,003C6,ell,φ,13787.0,8.0,58.616212191579,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0078589437310573,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C6,,1311
28,003C7,ell,χ,14941.0,8.0,46.726979910416695,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0085167533390677,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C7,,1360
29,003C8,ell,ψ,2768.0,8.0,75.5983213661942,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0015778310181741,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C8,,1295
30,003C9,ell,ω,25993.0,8.0,51.8466384024966,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0148166768986272,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C9,,1286
31,003CA,ell,ϊ,145.0,7.0,19.8518287487695,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,8.265372024394818e-05,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003CA,,1011
32,003CB,ell,ϋ,32.0,6.0,37.0968297680108,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,1.824082101935408e-05,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003CB,,1139
33,003CC,ell,ό,32685.0,7.0,43.09757787125261,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0186312885942996,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003CC,,1230
34,003CD,ell,ύ,18898.0,7.0,41.2486970395383,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0107723448632422,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003CD,,1192
35,003CE,ell,ώ,10371.0,7.0,57.7370595885065,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0059117360872412,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003CE,,1342
36,005D0,hbo,א,112193.0,6.0,67.6998172112081,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0897312134544433,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D0,,1351
37,005D0,heb,א,34260.0,2.0,67.6998172112081,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.085421497494203,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D0,,1351
38,005D1,hbo,ב,66154.0,6.0,46.2669828924322,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0529095281779188,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D1,,957
39,005D1,heb,ב,18779.0,2.0,46.2669828924322,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.046822250479966,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D1,,957
40,005D2,hbo,ג,9047.0,6.0,35.323276513847105,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0072357302872937,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D2,,1038
41,005D2,heb,ג,3787.0,2.0,35.323276513847105,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0094422420026429,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D2,,1038
42,005D3,hbo,ד,29223.0,6.0,37.547631367599394,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0233723605820256,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D3,,974
43,005D3,heb,ד,10823.0,2.0,37.547631367599394,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0269853142842895,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D3,,974
44,005D4,hbo,ה,114087.0,6.0,48.3390570867524,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0912460220279079,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D4,,1050
45,005D4,heb,ה,34077.0,2.0,48.3390570867524,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0849652180417383,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D4,,1050
46,005D5,hbo,ו,126753.0,6.0,27.3752400869637,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.1013762043887859,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D5,,892
47,005D5,heb,ו,46516.0,2.0,27.3752400869637,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.1159797541576283,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D5,,892
48,005D6,hbo,ז,9686.0,6.0,27.2546108172632,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.007746798227338,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D6,,987
49,005D6,heb,ז,3345.0,2.0,27.2546108172632,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.008340189991772,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D6,,987
50,005D7,hbo,ח,30368.0,6.0,54.6182914469557,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0242881239487716,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D7,,1077
51,005D7,heb,ח,9084.0,2.0,54.6182914469557,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0226494128207046,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D7,,1077
52,005D8,hbo,ט,8186.0,6.0,59.1550443359474,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.006547108227234,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D8,,1208
53,005D8,heb,ט,2284.0,2.0,59.1550443359474,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0056947664996135,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D8,,1208
54,005D9,hbo,י,130334.0,6.0,17.102979166081198,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.1042402643157008,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005D9,,962
55,005D9,heb,י,42862.0,2.0,17.102979166081198,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.1068691250903832,1.0,"Bentz & Ferrer-i-Cancho, 2016",005D9,,962
56,005DA,hbo,ך,10426.0,6.0,45.809959499189794,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.008338645294056,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DA,,975
57,005DA,heb,ך,3409.0,2.0,45.809959499189794,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0084997631336175,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DA,,975
58,005DB,hbo,כ,35535.0,6.0,41.9170839362089,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0284206561024631,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DB,,1029
59,005DB,heb,כ,11954.0,2.0,41.9170839362089,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0298052709003415,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DB,,1029
60,005DC,hbo,ל,85538.0,6.0,43.7159336549113,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0684127221525957,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DC,,1077
61,005DC,heb,ל,30383.0,2.0,43.7159336549113,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0757548557608397,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DC,,1077
62,005DD,hbo,ם,42426.0,6.0,62.372424030269,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0339320319629407,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DD,,1070
63,005DD,heb,ם,18880.0,2.0,62.372424030269,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0470740768444411,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DD,,1070
64,005DE,hbo,מ,59177.0,6.0,56.6964553125408,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0473293700907685,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DE,,1205
65,005DE,heb,מ,19579.0,2.0,56.6964553125408,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0488169147530356,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DE,,1205
66,005DF,hbo,ן,17732.0,6.0,34.991141436286895,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0141819353878957,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005DF,,974
67,005DF,heb,ן,4788.0,2.0,34.991141436286895,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0119380656743211,1.0,"Bentz & Ferrer-i-Cancho, 2016",005DF,,974
68,005E0,hbo,נ,39944.0,6.0,30.1076111019405,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0319469449094354,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E0,,939
69,005E0,heb,נ,12378.0,2.0,30.1076111019405,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0308624429650684,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E0,,939
70,005E1,hbo,ס,8607.0,6.0,54.2835943989608,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0068838212205965,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E1,,1212
71,005E1,heb,ס,3729.0,2.0,54.2835943989608,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0092976288428453,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E1,,1212
72,005E2,hbo,ע,46413.0,6.0,59.1047461813874,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0371208079832171,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E2,,1270
73,005E2,heb,ע,13020.0,2.0,59.1047461813874,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0324631610442067,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E2,,1270
74,005E3,hbo,ף,3974.0,6.0,60.86876207877621,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0031783787069421,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E3,,1226
75,005E3,heb,ף,632.0,2.0,60.86876207877621,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0015757847757249,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E3,,1226
76,005E4,hbo,פ,16997.0,6.0,57.041928596594296,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0135940872878448,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E4,,1265
77,005E4,heb,פ,5013.0,2.0,57.041928596594296,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0124990650011219,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E4,,1265
78,005E5,hbo,ץ,4270.0,6.0,58.3106139911848,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0034151175336293,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E5,,1167
79,005E5,heb,ץ,430.0,2.0,58.3106139911848,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0010721320467748,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E5,,1167
80,005E6,hbo,צ,12005.0,6.0,52.9738836969656,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0096015189674987,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E6,,1232
81,005E6,heb,צ,3246.0,2.0,52.9738836969656,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0080933502879796,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E6,,1232
82,005E7,hbo,ק,20672.0,6.0,57.87606978020701,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0165333277880995,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E7,,1070
83,005E7,heb,ק,5741.0,2.0,57.87606978020701,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0143142094896152,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E7,,1070
84,005E8,hbo,ר,73285.0,6.0,35.0338260107553,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0586128544384131,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E8,,904
85,005E8,heb,ר,19572.0,2.0,35.0338260107553,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0487994614406462,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E8,,904
86,005E9,hbo,ש,63442.0,6.0,77.61438835141242,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0507404886577308,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005E9,,1353
87,005E9,heb,ש,21786.0,2.0,77.61438835141242,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0543196948163662,1.0,"Bentz & Ferrer-i-Cancho, 2016",005E9,,1353
88,005EA,hbo,ת,73849.0,6.0,50.5818040093185,Hebr,27,0,abjad,Middle East,Armi,1250323.0,0.0590639378784522,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",005EA,,1065
89,005EA,heb,ת,20713.0,2.0,50.5818040093185,Hebr,27,0,abjad,Middle East,Armi,401070.0,0.0516443513601117,1.0,"Bentz & Ferrer-i-Cancho, 2016",005EA,,1065
90,00621,arb,ء,1480.0,2.0,17.8461581546632,Arab,39,0,abjad,Middle East,Nbat,416486.0,0.0035535408152975,1.0,"Bentz & Ferrer-i-Cancho, 2016",00621,,997
